NomStation,NumeroStation,En_service,MiseEnService,Rue,NoRue,Commune,LocationsEn2016,LocationsEn2019
CROIX DE PIERRE - DEODAT DE SEVERAC,129,oui,2008,BD DEODAT DE SEVERAC,2,Toulouse,19224,17186
BILLIERES  -  CHAMPETRE,105,oui,2008,AV ETIENNE BILLIERES,12,Toulouse,19595,14544
BILLIERES -  PATTE D OIE,130,oui,2008,AV ETIENNE BILLIERES,66T,Toulouse,21237,21848
SEBASTOPOL -  RITAY,108,oui,2008,RUE DE SEBASTOPOL,9,Toulouse,16641,13507
BD MONTPLAISIR -  CANAL,114,oui,2008,BD MONPLAISIR,8,Toulouse,15374,13948
MURET -  BARTHERE,104,oui,2008,AV DE MURET,223B,Toulouse,15339,13401
THEATRE GARONNE,95,oui,2008,AV DU CHATEAU D EAU,4,Toulouse,15859,15219
DESBALS SAINTONGE,143,oui,2008,RUE HENRI DESBALS,145,Toulouse,4457,276
CHAUSSAS DAUDET,147,oui,2008,RUE DE CHAUSSAS,96,Toulouse,12231,11710
COLLIGNON,148,oui,2008,AV FRANCOIS COLLIGNON,0,Toulouse,15988,14384
THEATRE DES MAZADES,152,oui,2008,AV DES MAZADES,10,Toulouse,6302,8389
METRO EMPALOT,156,oui,2008,AV JEAN MOULIN,38,Toulouse,8377,9175
JULES JULIEN DEVIC,159,oui,2008,AV JULES JULIEN,96,Toulouse,13686,12374
RANGUEIL BEDOUCE,161,oui,2008,AV DE RANGUEIL,35,Toulouse,6358,7780
BEDOUCE CANAL DU MIDI,163,oui,2008,AV ALBERT BEDOUCE,115,Toulouse,12826,9526
BONNEFOY LEMAITRE,135,oui,2008,RUE DU FAUBOURG BONNEFOY,183,Toulouse,7410,10666
RPT POINT LAFFORGUE,172,oui,2008,RPT DE L ABBE G. LAFFORGUE,0,Toulouse,2824,1958
BOURGES MAUNOURY MELAT,174,oui,2008,AV MAURICE BOURGES MAUNOURY,41,Toulouse,3169,2782
PLACE SOUPETARD,180,oui,2008,PL DE SOUPETARD,3,Toulouse,4458,4200
CHAUBET,182,oui,2008,AV JEAN CHAUBET,158,Toulouse,3214,2921
ST SIMON QUATORZE JUILLET,191,oui,2008,RTE DE SAINT SIMON,395,Toulouse,8230,8003
PLACE DE L ORMEAU,200,oui,2008,AV JEAN RIEUX,345,Toulouse,3779,4167
SAINT EXUPERY ECOLE COURREGE,202,oui,2008,AV ANTOINE DE ST EXUPERY,165,Toulouse,2853,3840
LEYGUE RIEUX,206,oui,2008,AV ARMAND LEYGUE,20,Toulouse,4884,6789
CHRIST ROI,207,oui,2008,RUE DE L AUDE,25,Toulouse,655,1352
LIMAYRAC DARASSE,208,oui,2008,ALL DE LIMAYRAC,1,Toulouse,1571,2265
BAROUX DARASSE,209,oui,2008,AV LUCIEN BAROUX,4,Toulouse,476,1680
LAFILAIRE DELTOUR,198,oui,2008,CHE DE LAFILAIRE,25,Toulouse,1424,3701
METRO UPS,227,oui,2008,RTE DE NARBONNE,118,Toulouse,12573,8506
IUT RANGUEIL,229,oui,2008,AV DE RANGUEIL,129,Toulouse,7497,6591
BUTTE HERBETTES,238,oui,2008,CHE DE LA BUTTE,50,Toulouse,2654,4286
LAUNAGUET AUDIBERT,247,oui,2008,RTE DE LAUNAGUET,112,Toulouse,2897,1930
BOUQUETINS ROSTAND,248,oui,2008,RUE EDMOND ROSTAND,139,Toulouse,2221,2383
RAIMBAUD COLETTE,242,oui,2008,RUE ARTHUR RIMBAUD,4,Toulouse,1466,1715
LOMBEZ HIPPODROME,194,oui,2008,AV DE LOMBEZ,93,Toulouse,9812,8241
CUGNAUX GRAVETTE,183,oui,2008,RUE DE CUGNAUX,66,Toulouse,14879,14193
11 NOVEMBRE 1918,250,oui,2008,RUE DU ONZE NOVEMBRE 1918,0,Toulouse,4114,4518
PLACE RICHÉ,259,oui,2013,PL PAUL RICHE,1,Toulouse,2443,2059
VAN DYCK,261,oui,2013,RUE ANTOINE VAN DYCK,1,Toulouse,1126,1351
PLACE MICOULEAU,283,oui,0,PL MICOULAUD,1,Toulouse,2667,2206
CHARBONNIÈRE,280,oui,2013,RUE DE LA CHARBONNIERE,1,Toulouse,7083,7466
PLACE DES PRADETTES,275,oui,2013,PL DES PRADETTES,1,Toulouse,3060,2551
IZAR,273,oui,2013,RPT LOUIS IZAR,1,Toulouse,1265,1200
PLACE JEAN BAYLET,263,oui,2013,AV JEAN BAYLET,1,Toulouse,2403,1881
TRENTIN,270,oui,2013,BD SILVIO TRENTIN,1,Toulouse,6833,6928
WAGNER,282,oui,2013,BD RICHARD WAGNER,1,Toulouse,6412,8071
